timestamp,voltage_V,current_A,power_kW,SOC_percent,backup_time_h
2025-12-26 11:54:02,52.414,-0.314,-0.016,19.00,0.190
2025-12-26 11:54:04,52.415,-0.356,-0.019,19.00,0.190
2025-12-26 11:54:05,52.413,-0.291,-0.015,19.00,0.190
2025-12-26 11:54:06,52.409,-0.376,-0.018,19.00,0.190
2025-12-26 11:54:07,52.400,-0.310,-0.016,19.00,0.190
2025-12-26 11:54:08,52.405,-0.323,-0.017,19.00,0.190
2025-12-26 11:54:09,52.415,-0.307,-0.016,19.00,0.190
2025-12-26 11:54:11,52.418,-0.285,-0.015,19.00,0.190
2025-12-26 11:54:12,52.408,-0.274,-0.014,19.00,0.190
2025-12-26 11:54:13,52.410,-0.267,-0.014,19.00,0.190
2025-12-26 11:54:14,52.404,-0.336,-0.018,19.00,0.190
2025-12-26 11:54:15,52.412,-0.246,-0.013,19.00,0.190
2025-12-26 11:54:17,52.408,-0.244,-0.013,19.00,0.190
2025-12-26 11:54:18,52.411,-0.298,-0.016,19.00,0.190
2025-12-26 11:54:19,52.419,-0.263,-0.014,19.00,0.190
2025-12-26 11:54:20,52.407,-0.295,-0.015,19.00,0.190
2025-12-26 11:54:21,52.406,-0.233,-0.012,19.00,0.190
2025-12-26 11:54:22,52.409,-0.284,-0.015,19.00,0.190
2025-12-26 11:54:24,52.418,-0.250,-0.014,19.00,0.190
2025-12-26 11:54:25,52.408,-0.279,-0.015,19.00,0.190
2025-12-26 11:54:26,52.417,-0.344,-0.018,19.00,0.190
2025-12-26 11:54:27,52.400,-0.308,-0.016,19.00,0.190
2025-12-26 11:54:28,52.418,-0.277,-0.015,19.00,0.190
2025-12-26 11:54:29,52.417,-0.237,-0.012,19.00,0.190
2025-12-26 11:54:31,52.412,-0.273,-0.014,19.00,0.190
2025-12-26 11:54:32,52.412,-0.269,-0.014,19.00,0.190
2025-12-26 11:54:33,52.408,-0.267,-0.014,19.00,0.190
2025-12-26 11:54:34,52.397,-0.270,-0.014,19.00,0.190
2025-12-26 11:54:35,52.411,-0.278,-0.015,19.00,0.190
2025-12-26 11:54:36,52.415,-0.304,-0.016,19.00,0.190
2025-12-26 11:54:38,52.412,-0.306,-0.016,19.00,0.190
2025-12-26 11:54:39,52.412,-0.306,-0.016,19.00,0.190
2025-12-26 11:54:40,52.410,-0.321,-0.017,19.00,0.190
2025-12-26 11:54:41,52.413,-0.279,-0.015,19.00,0.190
2025-12-26 11:54:42,52.417,-0.316,-0.017,19.00,0.190
2025-12-26 11:54:43,52.416,-0.289,-0.015,19.00,0.190
2025-12-26 11:54:45,52.406,-0.324,-0.017,19.00,0.190
2025-12-26 11:54:46,52.415,-0.269,-0.014,19.00,0.190
2025-12-26 11:54:47,52.417,-0.324,-0.017,19.00,0.190
2025-12-26 11:54:48,52.405,-0.332,-0.017,19.00,0.190
2025-12-26 11:54:49,52.398,-0.359,-0.019,19.00,0.190
2025-12-26 11:54:50,52.407,-0.356,-0.019,19.00,0.190
2025-12-26 11:54:52,52.404,-0.300,-0.016,19.00,0.190
2025-12-26 11:54:53,52.417,-0.300,-0.016,19.00,0.190
2025-12-26 11:54:54,52.394,-0.286,-0.015,19.00,0.190
2025-12-26 11:54:55,52.408,-0.326,-0.017,19.00,0.190
2025-12-26 11:54:56,52.418,-0.268,-0.014,19.00,0.190
2025-12-26 11:54:58,52.406,-0.233,-0.012,19.00,0.190
2025-12-26 11:54:59,52.422,-0.266,-0.014,19.00,0.190
2025-12-26 11:55:00,52.404,-0.329,-0.017,19.00,0.190
2025-12-26 11:55:01,52.410,-0.294,-0.015,19.00,0.190
2025-12-26 11:55:02,52.406,-0.295,-0.015,19.00,0.190
2025-12-26 11:55:03,52.411,-0.212,-0.011,19.00,0.190
2025-12-26 11:55:05,52.403,-0.277,-0.015,19.00,0.190
2025-12-26 11:55:06,52.420,-0.229,-0.011,19.00,0.190
2025-12-26 11:55:07,52.414,-0.274,-0.014,19.00,0.190
2025-12-26 11:55:08,52.414,-0.255,-0.012,19.00,0.190
2025-12-26 11:55:09,52.407,-0.261,-0.014,19.00,0.190
2025-12-26 11:55:10,52.398,-0.273,-0.014,19.00,0.190
2025-12-26 11:55:12,52.409,-0.243,-0.013,19.00,0.190
2025-12-26 11:55:13,52.413,-0.312,-0.016,19.00,0.190
2025-12-26 11:55:14,52.406,-0.333,-0.017,19.00,0.190
2025-12-26 11:55:15,52.419,-0.322,-0.017,19.00,0.190
2025-12-26 11:55:16,52.408,-0.314,-0.016,19.00,0.190
2025-12-26 11:55:17,52.408,-0.298,-0.016,19.00,0.190
2025-12-26 11:55:19,52.405,-0.346,-0.018,19.00,0.190
2025-12-26 11:55:20,52.407,-0.320,-0.017,19.00,0.190
2025-12-26 11:55:21,52.406,-0.255,-0.013,19.00,0.190
2025-12-26 11:55:22,52.413,-0.326,-0.017,19.00,0.190
2025-12-26 11:55:23,52.411,-0.268,-0.014,19.00,0.190
